Do you consider yourself to be an nf-core...?,What do you like most about nf-core?,What have been your biggest difficulties with nf-core?,Any other feedback on nf-core?,Positive Tags,Improvement Tags,Request tags,Comments James
"User, Developer",Community maintenance,,,"Community feel, Long term maintaince",No feedback,No feedback,
User,,,,No feedback,No feedback,No feedback,
"User, Exploring",Engagement,,,Inclusivity,No feedback,No feedback,
User,Feed back and expertise from user/developper,Pipelines are unevenly maintained or documented,,Community expertise,"Variable pipeline quality, Documentation (pipeline usage)",No feedback,
Developer,The slack workspace to ask questions and get support!,Sometimes docs are outdated or no one replies and its unclear why.,,Use of slack,"Documentation (pipeline usage), Documentation (newcomer user)",No feedback,
Developer,"It makes integrating other exiting pipelines into another pipeline easier, and using Nextflow means we don't need to port our pipelines to new cloud and server systems.",The documentation is generally poor. The underlying logic is not explained so more advanced operations take a long time to implement. The examples provided in the docs are often too simple for real world applications.,,Nextflow itself,"Documentation (newcomer developer), Documentation (writing pipelines)",No feedback,
Developer,"The community, and the shared effort to create high-quality and reproducible bioinformatic workflows.","Quick updates to the template and modules, breaking changes in Nextflow. Overall I think it's more good than bad, but can still be difficult.",,"Community feel, Inclusivity, Reproducibility",Tool release speed,No feedback,
User,Very good starting point to implement a pipeline for a certain technology / use,the ability to capture new necessities (new pipelineS) or improvements into current pipelines. This process is very cumbersome and is not effective for users,It feels difficult to jump from user to occasional developer. The documentation and current standards-templates is very daunting.,High quality pipelines,Template complexity,Better documenation,
Developer,The very high level of the community and its kindness,Learning how to deal CI-related stuffs when developing a new pipeline,Thanks you so much for your hard work,"Community feel, Inclusivity",Documentation (writing pipelines),No feedback,
Developer,The high level of standards for automated testing and checking of code quality,Understanding the structure and process of the template and how to update it in existing pipelines,"I feel the documentation around the structure and process around the template and its components would benefit from a common coherent documentation not only in the form of tutorials of how to do things (that can be figured out), but first what are its parts and how they do fit together",High quality pipelines,Template complexity,Better documenation,
"User, Developer",Framework very well designed and friendly community,"Sometimes is too complex, for instance dev new modules",,"Inclusivity, High quality infrastructure",Documentation (newcomer developer),No feedback,
Developer,Standardized and stable pipelines for a plethora of biological questions,nf-core module creation and maintenance (including debugging failing nf-test tests),Love the spirit and the continued efforts of core and maintainers team! It keeps the community thriving :),"High quality pipelines, Analytical diversity","Documentation (newcomer developer), Debugging CI",No feedback,
"User, Developer","Open and inspiring community, getting help",,Keep up the great work!,"Community feel, Community expertise",No feedback,No feedback,
"Developer, User","Comparatively easy to use pipelines, friendly community","The nf-core ecosystem is very active, for me as someone who came in rather late, it is difficult to actually get an overview of the tools that exist, in particular the plug-in ecosystem",,"Ease of use, Community feel","Template complexity, Tool release speed",No feedback,
User,availability of ready to use and well tested pipelines!,Documentation could be outdated sometimes. Developing with nf-core feels like an overkill for small (3 to 4 tasks) in-house projects,,High quality pipelines,"Documentation (writing pipelines), Template complexity, Non-official nf-core pipeline support",No feedback,
"User, Developer",Covering every possible tool and experiment,,,Analytical diversity,No feedback,No feedback,
User,,,,No feedback,No feedback,No feedback,
User,High quality software engineering and curation,Getting things to run out of the box,Open source and collaborative community culture is fantastic. Better written and findable documentation,"High quality pipelines, High quality infrastructure","Documentation (newcomer user), Documentation (configs), Documentation (pipeline usage)",Better documenation,
Developer,Community effort,Being updated on new features/pipelines,,Community feel,Communication,No feedback,
User,"Collection of issues + solutions, also in the Slack",getting it to work with my cluster environment,,"Community expertise, Use of slack","Documentation (configs), Documentation (newcomer user)",No feedback,
Developer,The community,The templating and updating nf-core pipelines,There really needs to be less forced templating!,Community feel,"Tool release speed, Template complexity",Less strict,
User,Reproducibility,Some pipelines' documentation assumes users are already familiar with the various tools it uses and know how their inputs should look.,nf-core's own cloud computing environment :),Reproducibility,Documentation (pipeline usage),No feedback,
"User, Developer",,,,No feedback,No feedback,No feedback,
"User, Developer",ease to share/reuse/assemble top-quality code,"sometimes integrating modules can be hard, there is some learning curve to get things working :)",maybe some very generic unsupervised ML tools could make it gain some extra popularity outside bioinformatics...,Modularity/sharing of components,Documentation (writing pipelines),No feedback,
User,Easy to use,Did not find anything,,Ease of use,No feedback,No feedback,
Developer,Open community,Hard to develop,,"Community feel, Inclusivity","Documentation (newcomer developer), Template complexity",No feedback,
"User, Developer","Gathering lots of people (critical mass). Ensuring questions are answered. Allowing discussion of bioinformatics tools, regardless of Nextflow code. Being friendly. Open code.","Distinguish between using official nf-core pipelines and creating local nf-core pipelines. 
What do to when an official nf-core pipeline does not meet your need?
What to do if you create your personal version of an official nf-core pipeline?",,"Community expertise, Speed of responses, Open source","Non-official nf-core pipeline support, Documentation (newcomer developer)",No feedback,
User,simple deployment of comprehensive workflows covering wide range of data types according to community ideas of best practives,IT/research computing issues for new users,im very grateful for the community,"Ease of use, Analytical diversity","Documentation (configs), Documentation (newcomer user)",No feedback,
"User, Developer",How interactive and welcoming everyone is.,Finding routes into aiding with larger pipelines.,None.,"Community feel, Inclusivity",Existing pipeline new developer onboarding,No feedback,
Developer,"Quick onbarding, friendly welcome, good community guidelines",Separating the idea space of nf-core and nextflow,,"Inclusivity, Community feel","Documentation (newcomer user), Documentation (newcomer developer)",No feedback,
Developer,"1. Efficient structure: different teams (tools, maintainers, office-hours etc.) assign tasks clearly. 2. Welcoming athmosphere",Contributing docs were a bit all-over-the-place when I started. That's been hugely improved already.,Merch idea: Flip-flops/slippers with nf-core logo,"Inclusivity, Community feel","Documentation (writing pipelines), Documentation (newcomer developer)",More merch,We will see what we can do
"User, Developer",Very easy for the user.  The pipeline launch page is awesome.,Life of the user is made easy at the expense of the developer's time. The Nextflow DSL is hard to memorise; the best strategy is cargo-culting from other files. Error messages are useless most of the times.,The nf-core community is awesome.,Community structure,Nextflow itself,No feedback,
